date,time,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,error
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,7.9456,0.15,1.3656
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,7.9456,0.15,1.2056
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,7.9456,0.15,0.2056
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,7.9456,0.15,1.1044
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,7.9456,0.15,1.3444
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,7.9456,0.15,0.0244
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.77632,0.15,0.19632
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.77632,0.15,0.03632
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.77632,0.15,0.96368
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.77632,0.15,2.27368
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.77632,0.15,2.51368
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.77632,0.15,1.19368
7/9/2024,11:07,1,32.32,54570,35.88,34920,5.09,85,7.93,0.14,6.58,6.59968,0.15,0.01968
7/9/2024,11:07,2,32.31,54670,35.95,34980,5,83.5,7.93,0.16,6.74,6.59968,0.15,0.14032
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.59968,0.15,1.14032
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.59968,0.15,2.45032
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.59968,0.15,2.69032
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.59968,0.15,1.37032
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,7.9456,0.3,1.9944
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,7.9456,0.3,1.9844
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,7.9456,0.3,3.1444
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,7.9456,0.3,3.2244
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,7.9456,0.3,2.5544
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,7.9456,0.3,3.5244
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,6.77632,0.3,3.16368
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,6.77632,0.3,3.15368
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,6.77632,0.3,4.31368
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,6.77632,0.3,4.39368
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,6.77632,0.3,3.72368
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,6.77632,0.3,4.69368
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,6.59968,0.3,3.34032
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,6.59968,0.3,3.33032
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,6.59968,0.3,4.49032
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,6.59968,0.3,4.57032
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,6.59968,0.3,3.90032
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,6.59968,0.3,4.87032
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,7.9456,0.45,3.3244
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,7.9456,0.45,2.8644
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,7.9456,0.45,3.0044
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,7.9456,0.45,4.5444
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,7.9456,0.45,3.8144
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,7.9456,0.45,4.1244
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.77632,0.45,4.49368
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.77632,0.45,4.03368
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.77632,0.45,4.17368
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.77632,0.45,5.71368
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.77632,0.45,4.98368
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.77632,0.45,5.29368
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.59968,0.45,4.67032
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.59968,0.45,4.21032
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.59968,0.45,4.35032
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.59968,0.45,5.89032
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.59968,0.45,5.16032
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.59968,0.45,5.47032
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,7.9456,0.6,2.5144
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,7.9456,0.6,2.7744
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,7.9456,0.6,0.2844
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,7.9456,0.6,3.1044
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,7.9456,0.6,2.6844
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,7.9456,0.6,6.5944
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,6.77632,0.6,3.68368
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,6.77632,0.6,3.94368
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,6.77632,0.6,1.45368
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,6.77632,0.6,4.27368
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,6.77632,0.6,3.85368
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,6.77632,0.6,7.76368
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,6.59968,0.6,3.86032
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,6.59968,0.6,4.12032
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,6.59968,0.6,1.63032
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,6.59968,0.6,4.45032
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,6.59968,0.6,4.03032
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,6.59968,0.6,7.94032
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,7.9456,0.75,3.1844
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,7.9456,0.75,2.3644
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,7.9456,0.75,2.5344
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,7.9456,0.75,3.2244
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,7.9456,0.75,3.9244
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,7.9456,0.75,3.9144
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,6.77632,0.75,4.35368
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,6.77632,0.75,3.53368
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,6.77632,0.75,3.70368
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,6.77632,0.75,4.39368
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,6.77632,0.75,5.09368
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,6.77632,0.75,5.08368
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,6.59968,0.75,4.53032
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,6.59968,0.75,3.71032
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,6.59968,0.75,3.88032
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,6.59968,0.75,4.57032
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,6.59968,0.75,5.27032
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,6.59968,0.75,5.26032
